bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
aes_128;015e3b14a40c340a9436df8a7a014e5ea25bcd9a;85261;85124;86402;94543;76955;52800;61894;45774;115632;115818;62117;75533;85638;116357;76237;116371;31986;16964;48950;22428;2440;308;1025;44.6875;10.375;166826;116080;57.3181818182;33.7727272727;8.90909090909
aes_128;0a75ce9db1f37010b541dc5eb3de6069271af007;94430;88576;92312;97572;63502;85987;77476;121266;72872;120969;86148;85025;102162;121524;62369;121538;33990;16658;50648;21724;2440;308;1025;53.25;10.75;166122;121247;51.0454545455;39.9545454545;9.0
aes_128;0d2147fe70af88ee507ce8eaee24bcbc57422cd0;82376;88269;87479;86465;76709;110368;56989;54922;63760;110142;61273;51920;75726;110776;81339;110790;32383;13774;46157;30172;2440;308;1025;52.8125;10.9375;231281;110499;51.3181818182;39.7272727273;8.95454545455
aes_128;0eaa16a1499d16d39f2f1bbd6d394af67b4b5ccf;92512;86784;95112;99784;64818;83327;120935;78345;120795;920689;88262;87307;98494;121482;61361;121496;34046;16672;50718;21660;2440;308;1025;51.4375;10.5625;165556;121205;52.2727272727;38.6818181818;9.04545454545
aes_128;0f0c2fe7c25b0ba266c9a7e839f4f7652d2e3545;124677;95983;100035;110293;124875;83113;92909;61432;973621;1834478;82438;75041;82252;125446;95775;125460;35826;17942;53768;31516;2440;308;1025;45.875;10.875;221416;125169;56.8181818182;34.2727272727;8.90909090909
aes_128;0f8c183cabde620d91653a950d9531ee8f8d2681;176781;171352;170957;157144;96101;112373;58907;27026;25188;165216;177733;177655;103096;177871;159516;177885;47218;22395;69613;19420;2440;308;1025;30.9375;21.9375;209038;177594;59.6363636364;23.4545454545;16.9090909091
aes_128;14725d12a6d16602837df027d42d6f2d6d07c4a9;103383;106019;102920;106217;100333;127276;101584;127233;84223;97352;96997;68730;94104;127728;86187;127742;38078;21771;59849;32796;2440;308;1025;45.375;10.875;222406;127451;56.8181818182;34.0454545455;9.13636363636
aes_128;14a1a8eb73ede6749ce03ed4278546416dd6d896;94471;88597;92408;97610;63651;86057;77528;121350;72872;120971;86232;85109;102174;121621;62422;121635;34016;16672;50688;23708;2440;312;1025;52.8125;11.0;195499;121285;51.3636363636;39.5454545455;9.09090909091
aes_128;1b93a8cbd57b04afde20271dbc12e0e7390e37da;127197;99213;105352;109097;88070;77788;73340;82269;87070;953223;85041;71846;93002;128019;87275;128033;36782;21134;57916;24604;2440;308;1025;37.0625;10.625;169002;127742;62.3636363636;28.4090909091;9.22727272727
aes_128;1c428ddddfa334630d245d861c3ae1ad9c5d656c;107398;83064;77714;73892;101737;126579;81840;106141;4685182;137468;98789;137463;96474;137880;101782;137894;41620;19975;61595;20124;2440;308;1025;45.5625;11.0625;164522;137603;56.3181818182;34.0909090909;9.59090909091
