bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
bitcount2;01be630f4596a06c05fd83941954bf574470e5e6;75;78;192;231;252;257;136;348;61;270;377;341;139;406;350;420;51;93;144;11004;2392;272;1025;2.4375;15.8125;172634;154;85.6363636364;1.86363636364;12.5
bitcount2;02a6b069f04df8846c49e52cf4d7b6217b797604;72;79;193;232;252;262;141;353;61;270;382;346;139;411;355;425;50;93;143;17852;2392;272;1025;1.875;14.6875;198342;159;87.2727272727;1.45454545455;11.2727272727
bitcount2;04d8796191e9c6db545bafc40ec721dd04de06f7;89;71;190;227;252;261;140;352;61;270;381;345;148;410;354;424;52;93;145;10280;2392;272;1025;2.3125;15.6875;145582;158;85.8181818182;1.77272727273;12.4090909091
bitcount2;0597b3d8b20f3d4fe0f8485f7e480f7a64c1d646;87;72;194;227;252;261;140;352;61;270;381;345;146;410;354;424;52;93;145;10280;2392;272;1025;1.6875;15.9375;145580;158;86.0909090909;1.31818181818;12.5909090909
bitcount2;094ca442f4a1832478b8c886fe92e55bbb097f87;80;81;192;231;252;257;136;348;61;270;377;341;139;406;350;420;51;93;144;17980;2392;272;1025;2.25;14.6875;210249;154;86.7272727273;1.72727272727;11.5454545455
bitcount2;0ae167d04ec481a7de422e73d0ab21e5bc6ae8b7;75;78;192;231;252;257;136;348;61;270;377;341;139;406;350;420;51;93;144;11004;2392;272;1025;2.4375;15.75;172636;154;85.8636363636;1.77272727273;12.3636363636
bitcount2;0c629ba1466913df02ad80cb515ea4adbd4e25e7;89;69;192;225;252;261;140;352;61;270;381;345;150;410;354;424;51;93;144;10280;2392;272;1025;2.75;14.875;145580;158;86.0;2.09090909091;11.9090909091
bitcount2;0d1c7a19d9ef15d67c3dbbf7488e54f992b4e40c;80;81;192;231;252;257;136;348;61;270;377;341;139;406;350;420;51;93;144;17980;2392;272;1025;1.8125;15.4375;209959;154;86.5454545455;1.36363636364;12.0909090909
bitcount2;0f061f3db5cf6f2e02ba1803e88cdce686f50e79;165;62;217;264;357;321;200;412;61;270;441;394;139;384;414;484;81;100;181;10536;2392;272;1025;2.625;14.8125;145836;218;86.1818181818;2.0;11.8181818182
bitcount2;1100d87eccb48a624ddcfbf995ff0d755118bf52;90;69;193;226;252;262;141;353;61;270;382;346;147;411;355;425;50;93;143;10280;2392;272;1025;1.75;15.25;145580;159;86.8181818182;1.31818181818;11.8636363636
bitcount2;1151639e11c3811bd65ef155a012de62e4a47600;93;73;195;228;310;274;153;365;61;270;394;335;151;413;367;437;54;96;150;10280;2392;272;1025;2.25;15.875;145078;171;85.8181818182;1.72727272727;12.4545454545
bitcount2;118582a97d5ad84e1d934706afcb4432f4448295;75;78;192;231;252;261;140;352;61;270;381;345;139;410;354;424;51;93;144;10280;2392;272;1025;2.1875;16.5;145078;158;85.3636363636;1.81818181818;12.8181818182
bitcount2;150ec55f9a076aec4641ab5b1c50480a57b85feb;160;127;323;286;388;347;206;458;61;281;487;451;163;516;376;530;80;109;189;12156;2392;276;1025;1.8125;17.875;175353;197;84.8181818182;1.36363636364;13.8181818182
bitcount2;1558c82a81743418142858301b162b79e12aff82;87;67;196;228;252;262;141;353;61;270;382;346;145;411;355;425;50;93;143;10280;2392;272;1025;2.9375;15.625;145078;159;85.4090909091;2.27272727273;12.3181818182
bitcount2;15a57a4c4246dc4bec2cefd5ed339e0e3cc76ebf;90;74;188;222;252;261;140;352;61;270;381;345;153;410;354;424;51;93;144;17852;2392;272;1025;2.125;15.8125;198630;158;85.7727272727;1.59090909091;12.6363636364
bitcount2;16af1dffbec204fb587b252341ca7c74146d831b;165;62;216;265;357;321;200;412;61;270;441;394;139;384;414;484;81;100;181;10536;2392;272;1025;2.875;15.6875;145334;218;85.2272727273;2.18181818182;12.5909090909
bitcount2;16fda99edb76552a7251dbd4e5df26c7bd686bb8;130;101;315;295;383;327;184;466;61;281;495;459;177;524;414;538;78;113;191;18684;2392;276;1025;2.0;16.9375;226379;205;85.5454545455;1.54545454545;12.9090909091
bitcount2;180e962de2785767db80107efc9965fd28a0cb85;87;73;194;226;252;261;140;352;61;270;381;345;146;410;354;424;51;93;144;10280;2392;272;1025;2.625;14.3125;145580;158;86.9545454545;1.95454545455;11.0909090909
bitcount2;1a4b6783abd447bc2a294f0889dc783f29410493;85;82;195;242;252;263;142;354;61;270;383;347;154;412;350;426;52;98;150;11004;2392;272;1025;1.8125;15.0;172634;160;86.5454545455;1.31818181818;12.1363636364
bitcount2;1b8bf3d8d123ab0bb208eb849fdec4a2d5b56640;134;108;307;284;390;351;210;462;61;281;491;455;176;520;401;534;78;109;187;12156;2392;276;1025;2.5;18.125;175351;201;83.9090909091;1.86363636364;14.2272727273
bitcount2;1fbfe832ae14f4dfc5e6511ad19e5edbd2b47a5a;86;84;193;233;300;264;150;362;61;270;391;332;143;411;357;434;54;96;150;11068;2392;272;1025;2.1875;14.875;172698;168;86.2727272727;1.63636363636;12.0909090909
bitcount2;2128c22942e75a6f298992c77ecd240bafd30417;80;81;186;222;252;261;140;352;61;270;381;345;158;410;354;424;51;93;144;17852;2392;272;1025;2.125;15.625;198630;158;85.9090909091;1.59090909091;12.5
bitcount2;2646b329399ec6df9bf212b838b85b657f7bfc6d;119;104;300;265;392;355;214;466;61;281;495;451;170;456;392;538;78;109;187;18684;2392;276;1025;1.6875;16.9375;226425;205;85.5;1.36363636364;13.1363636364
bitcount2;2818367c50f0d5a171a092ed89bd21fa3c7ba195;73;66;188;224;252;263;142;354;61;270;383;347;162;412;341;426;52;94;146;10280;2392;272;1025;2.125;14.6875;145078;160;86.8636363636;1.59090909091;11.5454545455
