bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
bitcount1;02772d91b01d1f5bf9f9d3ffe8dad6cc0e59a58c;148;140;260;302;252;329;208;420;61;270;449;413;155;478;339;492;49;94;143;10216;2392;272;1025;7.0625;13.6875;145014;226;83.6363636364;5.13636363636;11.2272727273
bitcount1;038baea0b4df8fa78cf0f3056d27fb817c8f18e6;110;108;363;358;439;417;276;528;61;281;557;521;251;586;469;600;75;109;184;12092;2392;276;1025;6.0;17.5625;174785;267;81.7727272727;4.45454545455;13.7727272727
bitcount1;03e6de52e7628b47cbe565ff3481db61732a3c1f;237;214;313;350;517;479;338;590;61;281;619;583;152;648;378;662;109;139;248;12092;2392;276;1025;6.5625;18.375;174785;329;80.7727272727;4.95454545455;14.2727272727
bitcount1;047dd350e96f88e3301af27f1bbc8fad380d8e27;80;165;285;329;311;297;182;400;133;270;478;442;251;507;398;521;49;124;173;10408;2392;272;1025;9.4375;12.5;145708;255;82.6363636364;7.09090909091;10.2727272727
bitcount1;05425a7b99198278c3ef80283785ba9dc4c6eaa0;247;245;175;217;569;521;421;628;61;270;664;628;139;693;630;707;49;94;143;11004;2392;272;1025;14.25;15.25;172924;441;77.3181818182;10.5;12.1818181818
bitcount1;058076bce68b8203c0284f735e3630f79553cebc;202;198;205;296;252;387;266;478;61;270;507;471;139;536;480;550;80;123;203;10216;2392;272;1025;7.5;16.0625;145014;284;81.8181818182;5.59090909091;12.5909090909
bitcount1;058c1ced25fe33f071975172232eec04e7d24c86;68;89;251;301;377;341;220;432;61;270;461;415;146;383;434;504;53;96;149;10280;2392;272;1025;4.9375;16.5625;145078;238;83.5454545455;3.63636363636;12.8181818182
bitcount1;09c58a5e7dfce06431b7681cf63aa47278390ed6;155;78;253;300;252;326;205;417;61;270;446;410;222;475;419;489;48;93;141;10216;2392;272;1025;7.625;15.5625;145516;223;82.2272727273;5.77272727273;12.0
bitcount1;0afa1624ec8aba72e7f2c067ab105a174845b594;439;70;356;466;659;613;472;724;61;281;753;709;152;456;382;796;236;139;375;18748;2392;276;1025;3.3125;13.125;226489;463;87.2727272727;2.54545454545;10.1818181818
bitcount1;0c60a665280415fbffb3e3d04c79707d4c34f75e;386;56;253;409;578;542;421;633;61;270;662;615;139;384;635;705;209;126;335;10280;2392;272;1025;3.1875;17.125;145078;439;84.0454545455;2.36363636364;13.5909090909
bitcount1;0d4c1c217f06851774ef3fee3ac1e4f3f24db0ef;79;183;253;346;252;371;250;462;61;270;491;455;266;520;464;534;64;123;187;17788;2392;272;1025;9.125;16.75;198276;268;80.2272727273;6.63636363636;13.1363636364
bitcount1;0e352cbe1fc1968d1bfdafc25a7698c19b507966;369;424;237;409;540;248;820;1032;61;270;1061;1009;139;391;1020;1104;208;125;333;11068;2392;272;1025;6.6875;15.625;172698;838;82.8181818182;5.0;12.1818181818
bitcount1;0fff0194fe7882d527a332c70a8cf41e7e4abeb9;151;75;254;300;252;326;205;417;61;270;446;410;222;475;419;489;48;93;141;10216;2392;272;1025;7.0;16.375;145516;223;81.9545454545;5.13636363636;12.9090909091
bitcount1;13487d57f5f619e83fac86feb9bbb5f0c97d7f42;133;130;238;283;252;309;188;400;61;270;429;393;155;458;402;472;48;93;141;10216;2392;272;1025;6.4375;16.0625;145516;206;82.5909090909;4.72727272727;12.6818181818
bitcount1;15e12a7ad24c470cd041e4eae353875e23ffaab5;155;78;253;300;252;326;205;417;61;270;446;410;222;475;419;489;48;93;141;17788;2392;272;1025;7.9375;15.125;198276;223;82.1363636364;5.90909090909;11.9545454545
bitcount1;16c40f9b57f6fa8788f76337d4dd6d2f17b7d522;134;123;207;283;252;309;188;400;61;270;429;393;205;458;402;472;48;93;141;10216;2392;272;1025;6.375;14.625;145516;206;83.5909090909;4.72727272727;11.6818181818
bitcount1;18695188cd84511def869d858ab724dc5ad13054;63;122;191;285;252;312;191;403;61;270;432;396;139;461;405;475;50;93;143;10216;2392;272;1025;4.6875;14.9375;145014;209;84.7727272727;3.5;11.7272727273
bitcount1;1bd897249d757c931243606ea3b5bc4375c5a0c3;68;72;259;298;252;329;208;420;61;270;449;413;139;478;422;492;50;93;143;17852;2392;272;1025;4.75;16.3125;198340;226;83.6363636364;3.63636363636;12.7272727273
bitcount1;1c17e37a86b7892029cea3dd5bb8cef5f4a06949;180;75;285;329;252;356;235;447;61;270;476;440;250;505;449;519;49;123;172;17788;2392;272;1025;8.625;15.9375;198566;253;81.4545454545;6.27272727273;12.2727272727
bitcount1;1c66710c6bce3b7c56ce11f920dcc6be2860028f;152;78;255;297;252;327;206;418;61;270;447;411;223;476;420;490;48;93;141;10216;2392;272;1025;8.1875;15.25;145014;224;81.6363636364;6.13636363636;12.2272727273
bitcount1;20603b4f5b1a4995b3d69112c88222fcdecc877d;155;78;253;300;252;326;205;417;61;270;446;410;222;475;419;489;48;93;141;10216;2392;272;1025;7.5625;16.625;145518;223;80.9090909091;5.59090909091;13.5
