bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
bubblesort;000573a932f91fc70e1113e8791f026cacd6b34c;61850;61063;17133;51788;61825;1919;62490;62883;159;554;62931;62893;11797;63072;6546;63086;10348;688;11036;11112;2392;668;1025;19.375;11.3125;147610;62635;73.3636363636;17.136363636400002;9.5
bubblesort;019272d7209f65976a9530436ed937d63a8cfe6c;71460;72056;72758;22694;2340;73415;2231;73504;71739;455;73547;73511;12314;73576;17353;73590;10450;688;11138;10344;2392;668;1025;21.8125;11.9375;146840;73139;71.72727272729999;18.7727272727;9.5
bubblesort;03c7c860ee0544e3e0d6383d747a1a03b7a4a318;10564;15722;57096;56860;57886;56989;57577;57764;58001;57760;58000;57980;57083;58045;2040;58059;10564;447;11011;11368;2392;668;1025;4.8125;12.3125;148341;57608;83.22727272729999;6.454545454550001;10.3181818182
bubblesort;050174835cef068c7c3c3d14b2e1770178941b41;11754;16201;56410;56851;57900;57161;57567;57964;61;455;57993;57957;56561;58022;2418;58036;10546;489;11035;10280;2392;668;1025;5.75;12.25;146274;57585;82.6363636364;6.909090909089999;10.4545454545
bubblesort;066785c402b41f675fa238b2978624eb86f54cde;1840;62706;63454;62827;2392;63496;63185;63601;61;445;63630;63594;21217;63659;11829;63673;10478;701;11179;12220;2392;672;1025;12.4375;12.375;176613;63176;78.45454545449999;11.5909090909;9.95454545455
bubblesort;06845d2a4e65d3c99e72caef4d70765838fa23fa;1978;61546;62252;62499;1547;62611;62818;63215;61;455;63244;63208;21906;63273;12104;63287;10449;687;11136;10280;2392;668;1025;14.375;11.3125;146776;62836;77.54545454550001;13.3181818182;9.13636363636
bubblesort;06cf6827e23094dd07e9e5388211437857644f66;47625;25900;24005;49074;48189;6572;48694;49081;261;675;49235;49201;1656;49266;15390;49280;10349;688;11037;18492;2392;668;1025;20.0625;11.6875;200484;48829;73.5909090909;17.0454545455;9.36363636364
bubblesort;0722d0809f6b753df8eb8f05c2acb2adbad4b157;76514;26703;78304;23187;1639;78961;2630;79063;61;455;79092;79056;16061;79121;12610;79135;15894;687;16581;10344;2392;668;1025;10.4375;11.25;146840;78684;79.8181818182;10.6818181818;9.5
bubblesort;07ad653c2a967deb0a6497e458583d0c36037bee;11493;62556;31547;43320;2629;63677;62465;63805;61;445;63834;63787;6971;622;62226;63877;10474;701;11175;12220;2392;672;1025;20.0625;18.0;176111;63380;69.5909090909;16.7272727273;13.6818181818
bubblesort;086385950035fff2fd01ef93bcb78f8c1df2e3b4;11058;15707;57200;57146;58002;57260;57667;58064;61;455;58093;58057;56661;58122;2316;58136;10548;489;11037;10280;2392;668;1025;4.5625;12.125;146274;57685;83.77272727270001;6.409090909090001;9.81818181818
bubblesort;0904b0c3bae1822d61894a40ae4b110d9ed69be9;62153;60863;52352;17842;62328;2627;63099;63491;61;455;63542;63506;11505;63571;7253;63585;10446;687;11133;10344;2392;668;1025;18.875;12.125;146338;63134;73.3181818182;16.636363636400002;10.0454545455
bubblesort;0c2daf1e44d395180f6b8fdfbb8b027ca59b521b;1764;62240;62957;62398;62328;63010;1715;63116;61;455;63145;63109;21013;63174;11508;63188;10450;688;11138;10280;2392;668;1025;18.8125;11.1875;146778;62737;74.6818181818;16.2272727273;9.09090909091
bubblesort;0c6660ff5768e9de4c8b6ad40833c7842fbdade7;10603;15729;56977;56386;57663;57456;56621;57484;57777;57480;57776;57756;56790;57821;2074;57835;10588;460;11048;12156;2392;672;1025;4.6875;19.1875;176045;57338;78.8636363636;6.181818181819999;14.9545454545
bubblesort;0dc6453282b52a5305ab1bb8518836f99c0a7d31;13426;49352;48814;43494;14964;49674;20209;50362;171;565;50490;50469;1621;50534;8309;50548;7740;688;8428;10856;2392;668;1025;8.75;11.5625;146850;50097;81.27272727270001;9.40909090909;9.31818181818
bubblesort;0e768d66ffd03c4bb5c57d88e46fde1959b1c41e;16107;62340;36107;32991;2463;62498;63101;63501;61641;455;63548;63512;6458;63577;62592;63591;10449;687;11136;17916;2392;668;1025;28.9375;11.25;199616;63140;66.6818181818;23.8636363636;9.45454545455
bubblesort;0f560fbf53e74b13313378dd028cfb2ffc72f8f3;11555;16003;56409;56850;57899;57160;57567;57964;61;455;57993;57957;56561;58022;2317;58036;10546;489;11035;10280;2392;668;1025;5.0;12.375;146776;57585;83.6818181818;6.5;9.81818181818
bubblesort;0f6b4f1cd4abf1445f193db2ce9e8b9cf9346f97;5809;16298;56004;57448;58193;57342;57871;58268;61;455;58297;58261;57557;58326;2313;58340;10548;687;11235;17916;2392;668;1025;10.9375;12.0;199592;57889;79.3181818182;10.7272727273;9.95454545455
bubblesort;0fcc24b37a670d63d7c8dafd37d853ee468bdec3;11494;62556;31541;43318;2622;63677;62463;63801;61;445;63830;63794;6971;63859;62224;63873;10474;701;11175;18748;2392;672;1025;20.4375;17.625;227339;63376;68.54545454550001;17.636363636400002;13.8181818182
bubblesort;11105d87112dff5034dc4cc2cc2daa510a86b190;10564;15722;56896;56360;57586;56689;57277;57464;57701;57460;57700;57680;56783;57745;2040;57759;10564;447;11011;11368;2392;668;1025;4.25;12.25;148843;57308;84.4090909091;5.72727272727;9.86363636364
