bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
crc_32_short;0421c9a6a9d66b98b4da81c2905215d47353b790;9956;16544;19550;19395;19996;19798;19184;20089;768;1582;20429;19633;19363;20587;20445;20601;4781;465;5246;127784;5072;992;1025;0.25;12.375;601873;20020;89.9090909091;0.227272727273;9.86363636364
crc_32_short;067931b43f06965571646a3f8113e4684e9ed091;5460;16548;19560;19388;19984;19804;19190;20095;771;1585;20435;19639;5869;20593;20444;20607;4784;465;5249;134396;5072;992;1025;0.5;11.875;652757;20026;90.0909090909;0.363636363636;9.54545454545
crc_32_short;08b77812b8646739a992e3c2d295f0484637782b;23465;12052;24064;5903;24497;24298;23684;24589;768;1582;24929;24133;23860;25087;24951;25101;4781;465;5246;127784;5064;992;1025;0.6875;11.625;601575;24520;90.0909090909;0.545454545455;9.36363636364
crc_32_short;0972a93f88de73593aa21edf3547df99267f1d7c;21191;21039;21807;19394;22254;22051;21437;22342;767;1581;22682;21886;1367;22840;22694;22854;4786;465;5251;134396;5072;992;1025;0.5625;12.8125;652469;22273;89.3181818182;0.454545454545;10.2272727273
crc_32_short;0b49507a9d64cfa0ed5d26a28b28b71b99d669cf;9948;18801;17309;19395;19998;19799;19185;20090;768;1582;20430;19634;19358;20588;20439;20602;4780;465;5245;134332;5072;992;1025;0.25;12.5625;652403;20021;89.9090909091;0.181818181818;9.90909090909
crc_32_short;0bc361107f1faa218e8831706df42f637ee8c326;12199;18801;17309;19389;19997;19799;19185;20090;768;1582;20430;19634;19363;20588;20446;20602;4780;465;5245;127784;5072;992;1025;0.125;12.875;601873;20021;89.5909090909;0.181818181818;10.2272727273
crc_32_short;0bfd69b49a3f810588377544a98f040d64e65e91;12197;18793;15060;1404;19993;19787;19176;20089;767;1581;20429;19633;19358;20587;20444;20601;4780;465;5245;127784;5072;992;1025;0.3125;11.9375;601583;20020;90.0909090909;0.272727272727;9.63636363636
crc_32_short;0c53a4b2dc9eb7db6357003bb4e0ba132b75e48e;18955;14292;15056;19393;19996;19798;19184;20089;768;1582;20429;19633;19365;20587;20445;20601;4780;465;5245;127784;5072;992;1025;0.1875;12.5625;601873;20020;89.6363636364;0.136363636364;10.2272727273
crc_32_short;0dd58b2d7cc4264f75d8b8bd1f8eb966976497d8;18956;18791;15055;19389;4250;19797;19183;20088;769;1583;20428;19632;19357;20586;20449;20600;4780;464;5244;127848;5072;992;1025;0.375;12.6875;601937;20019;89.0909090909;0.318181818182;10.5909090909
crc_32_short;0dda3de8147ba762c62df4aba8fb96b67d6fded3;12197;18801;17309;19395;19998;19799;19185;20090;768;1582;20430;19634;19358;20588;20439;20602;4780;465;5245;127784;5072;992;1025;0.25;12.4375;601873;20021;89.7272727273;0.181818181818;10.0909090909
