bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
insertsort;001088d601a97e0d38d24e68d3570b2e59ed2875;319;300;517;590;276;615;475;712;61;295;741;705;343;770;711;784;134;180;314;18684;2480;308;1025;13.937500000000002;19.875;199572;493;73.8090909091;10.7363636364;15.4545454545
insertsort;00202a166288ddfddadc05bedc801cb182647903;1159;1091;242;346;1749;1587;1431;1233;668;295;2033;1997;180;2062;1993;2076;146;206;352;18300;2480;308;1025;17.5;19.5625;210705;1785;71.1363636364;13.3636363636;15.5
insertsort;004e590a23c7a71bba535cde78ea98f191d002b6;379;351;579;625;474;558;523;760;61;295;789;753;479;818;545;832;145;202;347;11560;2480;308;1025;21.3125;15.75;146484;541;70.95454545449999;16.363636363599998;12.6818181818
insertsort;0083177f1da7b8e694989faec4121b360b4b31f3;290;292;494;522;288;620;480;717;61;295;746;710;166;775;700;789;147;197;344;10728;2480;308;1025;9.875;19.625;145652;498;76.8181818182;7.909090909089999;15.2727272727
insertsort;008c71fd9cfdd971ee3c9238c2eee08e3d5a711c;551;584;687;829;1007;973;728;1098;61;298;1127;1091;741;1156;1030;1170;170;216;386;12220;2480;312;1025;19.5375;23.849999999999998;175037;820;66.8545454545;14.8;18.3454545455
insertsort;009dc13e659e82304d51a756335beacdc6fe6524;452;359;563;681;786;750;506;868;61;298;897;861;510;926;766;940;170;216;386;12156;2480;312;1025;9.625;28.75;174973;590;70.6363636364;7.363636363639999;22.0
insertsort;00c7cbe795d98903b19ebd15c70b3827f73c8751;484;470;493;645;497;683;543;780;61;295;809;773;370;838;567;852;147;202;349;11432;2480;308;1025;18.1875;15.375;146356;561;74.1363636364;13.7727272727;12.0909090909
insertsort;00f64a6c9c6ce4d640392f995966e9999e72a4e3;220;272;488;520;621;594;454;691;61;295;720;684;460;749;662;763;128;196;324;10984;2480;308;1025;10.687499999999998;21.4625;145906;472;75.0545454545;8.318181818180001;16.6272727273
insertsort;0145d4b5274337172d23618990d82b4c795364f0;416;330;424;648;700;585;530;767;61;295;796;760;489;825;760;839;144;201;345;10280;2480;308;1025;9.8125;23.625;145202;548;73.8181818182;7.681818181819999;18.5
insertsort;0165d746975a6920173813479b43c1b4dd938df7;559;375;503;757;876;734;706;943;61;295;972;926;562;408;933;1015;191;203;394;10344;2480;308;1025;9.4375;25.625;145266;724;72.8181818182;7.5;19.6818181818
insertsort;016e081b737b436c5bd5f381034a582fa334611e;436;348;1106;1259;2117;2071;1913;2182;61;298;2211;2175;169;2240;398;2254;1129;350;1479;12348;2480;312;1025;5.8375;11.3125;175165;1904;85.6909090909;5.01818181818;9.29090909091
insertsort;01714c6cb15b0c50d6395ec3ef1c52ce088280a6;492;419;493;673;723;695;555;792;61;295;821;785;467;850;707;864;144;201;345;17916;2480;308;1025;9.1875;23.8125;198528;573;74.04545454550001;7.27272727273;18.6818181818
insertsort;01c2ae055d24b95e3714a13bc41a330793a152cc;305;313;669;709;881;742;709;946;61;295;975;939;659;1004;703;1018;145;202;347;17916;2480;308;1025;20.1875;12.5625;198544;727;74.5909090909;15.4545454545;9.95454545455
insertsort;01ce3768c0110bce8601f4b6dff005f477093927;232;277;479;544;287;574;434;671;61;295;700;664;291;729;644;743;129;193;322;18556;2480;308;1025;12.5;19.0625;199466;452;75.45454545449999;9.86363636364;14.6818181818
