bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
maddconst;002b9ce77dd75765b93992d4148910b6a959ec55;97;128;296;273;289;356;203;453;61;308;482;446;193;511;432;525;64;121;185;18172;2392;332;1025;5.25;15.5625;199154;221;83.1363636364;4.45454545455;12.4090909091
maddconst;00700cabd787e54928dd67baec12c271260fe0e4;234;206;309;430;504;354;319;564;61;308;629;593;242;658;581;672;97;124;221;10280;2392;332;1025;10.3125;22.5625;145266;368;74.77272727270001;8.0;17.2272727273
maddconst;010cd57073663a3e51fd2b06809c2c36f9cf1f4b;147;278;321;427;412;492;337;589;61;308;649;613;292;678;574;692;113;124;237;17852;2392;332;1025;10.875;22.8125;198836;388;74.04545454550001;8.45454545455;17.5
maddconst;011ea3ea3fd822c389dfe20855f6831fca271b50;82;77;235;308;289;401;248;498;61;308;527;491;183;556;500;570;76;122;198;10664;2392;332;1025;3.625;15.125;146152;266;85.54545454550001;2.77272727273;11.6818181818
maddconst;01355c43493e00af7d28e490d804ffe0de0bba5d;116;124;284;322;289;341;188;438;61;308;467;431;191;496;435;510;64;122;186;10408;2392;332;1025;8.5;14.8125;145898;206;81.5909090909;6.5;11.9090909091
maddconst;0159a6f28df0a78395338bcae186eee30ef99752;87;70;283;339;289;357;204;454;61;308;483;447;187;512;447;526;80;122;202;10472;2392;332;1025;7.0625;14.375;145960;222;83.22727272729999;5.27272727273;11.5
maddconst;01823b43f925d9f0f270bdb7b7fe961d4b060afe;103;119;283;321;289;341;188;438;61;308;467;431;187;496;431;510;64;122;186;18044;2392;332;1025;7.0625;14.625;198996;206;82.5909090909;5.590909090909999;11.8181818182
maddconst;0189397c134a6e9652d6559f46f1bb21c5cc5fd6;84;77;254;367;289;388;235;485;61;308;514;478;186;543;477;557;62;123;185;10600;2392;332;1025;5.9375;15.0625;146088;253;82.8636363636;4.81818181818;12.3181818182
maddconst;0348bfaba725b20a225030bd51a887a0eec2b604;205;221;309;394;490;355;302;583;61;308;612;576;238;641;562;655;100;124;224;10344;2392;332;1025;10.25;22.5;145330;351;75.1363636364;7.77272727273;17.0909090909
maddconst;03975033db3dd74a08c08a9a77191b5f107e6d9c;280;124;347;487;459;449;382;632;61;308;661;625;416;690;615;704;99;124;223;17852;2392;332;1025;14.125;18.5;198514;400;74.6818181818;10.5;14.8181818182
maddconst;044a081671ec8d5962ab326c4507837000c6bb56;113;129;287;321;289;341;188;438;61;308;467;431;184;496;440;510;63;123;186;18044;2392;332;1025;7.75;14.625;199002;206;82.1818181818;5.86363636364;11.9545454545
maddconst;04d3e408df58c29286b3815d5221787388b77150;134;90;289;281;289;344;191;441;61;308;470;434;231;499;433;513;64;124;188;10664;2392;332;1025;7.0;14.4375;146154;209;82.9090909091;5.31818181818;11.7727272727
maddconst;04ef79fc72479b007c40a69e76834f5d3b5711e4;114;126;288;324;289;343;190;440;61;308;469;433;187;498;432;512;64;124;188;10408;2392;332;1025;7.8125;15.75;145896;208;81.22727272729999;6.0;12.7727272727
maddconst;05344aab0be274835b51233fd66a7e3c0adb2612;157;137;290;505;584;392;404;654;61;308;683;647;431;712;629;726;99;124;223;10280;2392;332;1025;15.8125;12.6875;145266;422;77.72727272729999;11.8181818182;10.4545454545
maddconst;057d285fb74baf8b1e980f16cd8e76a10824a6be;241;287;512;517;581;568;415;665;61;308;694;658;310;723;645;737;99;124;223;17916;2392;332;1025;13.0;16.9375;198600;433;77.1363636364;9.68181818182;13.1818181818
maddconst;05bb67ddea41473c45880d75b9f081b54433ca03;362;216;467;600;941;900;747;997;61;308;1026;979;170;424;999;1069;362;167;529;10408;2392;332;1025;5.875;15.25;145394;765;83.1818181818;4.63636363636;12.1818181818
maddconst;05cf5f70eb0e0a88a1a978fb850083d640fec689;100;126;289;323;289;343;190;440;61;308;469;433;186;498;432;512;64;124;188;10408;2392;332;1025;6.5;14.6875;145896;208;83.27272727270001;5.090909090909999;11.6363636364
maddconst;0624b672166af8eb05506c1efd8fcf2c75cd9c72;265;255;345;486;476;536;383;633;61;308;662;626;416;691;527;705;99;124;223;10280;2392;332;1025;13.0;17.875;145266;401;76.54545454550001;9.68181818182;13.7727272727
maddconst;064484eb4a5646d9209a0ba637470eec0eba9770;148;152;228;305;466;375;225;497;126;357;478;425;170;609;486;623;66;125;191;11516;2392;332;1025;15.625;14.5625;173334;319;76.8181818182;11.6818181818;11.5
maddconst;06781eaa8fd357898cf197787f8e54b09114f518;363;216;467;580;942;901;748;998;61;308;1027;980;170;424;1000;1070;362;167;529;18044;2392;332;1025;6.5;16.5;199018;766;81.5909090909;5.6363636363600005;12.7727272727
maddconst;072fce40ef73c5251e533df75d0b7ed092348aa5;341;310;449;520;508;511;447;716;61;298;745;709;421;774;520;788;127;138;265;18684;2392;336;1025;12.0625;17.5625;226533;438;76.8181818182;9.36363636364;13.8181818182
maddconst;079d02c6a2e012858434f125b1be3970164b3c2d;201;148;391;385;482;345;300;580;61;308;609;573;246;638;563;652;99;124;223;10280;2392;332;1025;9.625;23.4375;145266;348;74.72727272729999;7.27272727273;18.0
maddconst;07b92d7bb01ad014146f08e79d42c87de483fab7;196;153;389;308;465;431;267;536;61;298;565;529;219;594;418;608;90;138;228;12860;2392;336;1025;6.9375;18.4375;176243;258;80.3636363636;5.31818181818;14.3181818182
maddconst;087aa029197629cb42330a091519d3e440dbc2fb;134;94;289;323;289;344;191;441;61;308;470;434;186;499;433;513;64;124;188;10664;2392;332;1025;7.125;15.25;146152;209;82.27272727270001;5.5;12.2272727273
maddconst;0882767d674118d68d6136e7d965b46bbc3645c2;163;258;350;488;550;433;383;633;61;308;662;626;294;691;616;705;99;124;223;10280;2392;332;1025;13.3125;17.5;145266;401;76.27272727270001;9.95454545455;13.7727272727
maddconst;089ab12a4b7157516e565267aa5107e3cc230f78;207;202;309;395;485;451;301;546;61;308;607;571;337;636;561;650;97;125;222;10280;2392;332;1025;13.3125;21.0625;145266;346;73.5909090909;10.0;16.4090909091
