bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
mmult;004d2df67963724a23fe2ccbe9e25783d7eadc68;292;328;472;472;502;421;394;540;169;386;629;511;338;704;582;718;97;133;230;10472;2392;336;1025;28.75;16.5625;146028;424;65.9090909091;21.0454545455;13.0454545455
mmult;005b40a971eec7685645edc409a3e72bdeddd571;80;130;297;273;316;351;201;457;61;298;486;450;210;515;446;529;62;139;201;18236;2392;336;1025;6.3125;15.25;198996;235;83.1818181818;4.68181818182;12.1363636364
mmult;005e551860a785c17b76c9b316084a0e4f571261;129;93;281;324;280;350;201;441;61;298;470;434;177;499;443;513;61;139;200;10728;2392;336;1025;6.0625;14.9375;145782;219;83.5;4.72727272727;11.7727272727
mmult;008b2b3a2b216d89428492fbae8e61a1430abc3a;522;359;835;808;1023;904;853;1137;445;826;1182;1146;831;1211;1062;1225;220;155;375;12284;2392;340;1025;26.0;32.3125;175233;864;56.0909090909;19.5909090909;24.318181818200003
mmult;0102a3ff9cf126c62aba045badc9da722bb064eb;1026;916;267;368;1582;1500;1279;1417;917;1114;1687;1671;167;1776;1706;1790;138;170;308;11516;2392;336;1025;34.3125;24.125;180114;1496;55.7727272727;25.318181818200003;18.9090909091
mmult;010686071d843496cf306bb2138e5c43e8e9ad4e;384;548;670;797;843;958;735;1090;605;707;1144;1108;439;1173;1066;1187;195;140;335;10408;2392;336;1025;25.5;26.8125;145462;893;59.9545454545;19.5454545455;20.5
mmult;01cee308d162d5399a147cd3b1856be20e4b9f8c;345;310;448;517;538;454;329;581;137;334;676;649;417;714;573;728;97;141;238;10472;2392;336;1025;23.1875;15.5625;146028;434;70.6363636364;17.1818181818;12.1818181818
mmult;020aac45ba5ecedbe69065ac856db8e72b0f4c72;1016;1060;956;1029;1077;898;1003;1327;1008;666;1392;1356;1164;1421;1221;1435;209;140;349;10408;2392;336;1025;32.375;23.625;145464;1141;57.8181818182;23.8636363636;18.3181818182
mmult;0258dee6e0fafc9dcdbf928f39ada009c9f9a754;2164;2148;400;554;1890;2312;3286;3520;3296;2413;3660;3388;167;3786;3714;3800;192;141;333;11324;2392;336;1025;26.9375;33.375;179922;3506;54.636363636400006;20.1818181818;25.1818181818
mmult;02c46a18694f02ffe3902f1c5afbded69589dae0;436;427;692;747;898;948;636;994;682;791;930;1042;507;1107;854;1121;195;140;335;10408;2392;336;1025;26.75;29.125;145462;827;57.8181818182;19.9545454545;22.2272727273
mmult;03141d06630afbb3b182cb66653591afaa4d89fa;714;741;919;769;1006;594;486;1078;61;298;1107;1071;855;1136;842;1150;213;141;354;10344;2392;336;1025;17.6875;27.1875;145398;856;66.1818181818;13.1363636364;20.6818181818
mmult;03f2409ccb61dd2921cbfb625742c0eb9db156cf;736;708;633;989;1137;1138;1011;1273;959;1028;1322;1286;942;1351;879;1365;210;141;351;10344;2392;336;1025;31.5625;23.875;145400;1071;58.0;23.7272727273;18.2727272727
mmult;0477e8c61ce7a802d4e38d8085ee3b2e97a9d225;749;686;714;1054;1153;1153;1019;1297;977;1214;1322;1303;943;1368;641;1382;209;140;349;10344;2392;336;1025;31.0625;24.6875;145398;1088;57.7727272727;23.0454545455;19.1818181818
mmult;0483fe6679ba08e3b2412c6a4bb6f402356f18e7;2110;2144;424;529;2349;2335;3286;3537;3257;3527;3414;3713;167;3778;3710;3792;210;142;352;18108;2392;336;1025;22.625;33.1875;217063;3498;57.9545454545;17.0;25.0454545455
mmult;04a7b5cc325b9b182bc6cb094539a3f73d43ca51;2482;2604;989;471;2117;3091;3640;3818;3585;3641;3915;2667;215;4026;3955;4040;305;221;526;11260;2392;336;1025;31.3125;26.125;179860;3746;56.4545454545;23.2727272727;20.2727272727
mmult;050b3f8868994171689b3db949948a7348f9a876;756;734;980;1099;891;917;894;1159;285;426;1249;1213;827;1278;1093;1292;213;141;354;10408;2392;336;1025;29.9375;26.0625;145462;998;57.9545454545;22.1363636364;19.9090909091
