bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
mmultconst;003dc6971b9be839ff4b2b9dab0f8254d04086c7;107;122;290;274;307;348;195;445;61;308;474;438;192;503;433;517;64;121;185;10664;2392;332;1025;6.5;14.3125;145652;213;83.5909090909;5.0;11.4090909091
mmultconst;0074138d6113e02d57eaa5c2f0812b4ea90ab81a;201;148;405;384;497;345;315;500;61;308;624;588;246;653;578;667;99;124;223;17916;2392;332;1025;10.75;21.9375;198612;363;74.95454545449999;8.318181818180001;16.7272727273
mmultconst;0082f8691c6c35854ee3baff2f1b2f550dc52d38;222;205;305;390;507;353;316;562;86;308;625;589;238;654;575;668;97;124;221;10280;2392;332;1025;9.5625;22.75;145768;364;74.9090909091;7.409090909089999;17.6818181818
mmultconst;00eb90cd8587c25c8f441d48fd26cdc55bdcc790;110;123;286;321;289;340;187;437;61;308;466;430;186;495;439;509;63;123;186;18044;2392;332;1025;6.9375;14.9375;198994;205;83.0;5.090909090909999;11.9090909091
mmultconst;0162354efad477a1c558b9112f796b988cd424c3;112;128;286;321;310;324;169;439;61;308;468;432;186;497;425;511;64;124;188;10408;2392;332;1025;7.5625;15.0;145396;207;82.6818181818;5.681818181819999;11.6363636364
mmultconst;019a791124c60106e7a7e33807bef3b37e8c42e6;82;74;250;363;289;384;231;481;61;308;510;474;191;539;483;553;61;121;182;10600;2392;332;1025;5.6875;15.5625;146088;249;82.9090909091;4.5;12.5909090909
mmultconst;01aa581d9bf7f240bd048684c42c92de9e68a0e5;286;119;331;388;511;362;322;568;87;308;634;578;238;433;579;677;98;125;223;10344;2392;332;1025;9.125;21.75;145330;373;76.5909090909;6.954545454550001;16.4545454545
mmultconst;01e7d06ada620d2412ca30c500f095b5abbf46e5;863;1028;371;544;897;1112;911;2115;61;308;2144;2097;170;424;2103;2187;362;167;529;11260;2392;332;1025;9.625;15.125;180080;1883;80.4090909091;7.681818181819999;11.9090909091
mmultconst;021d8e64faebcc55e1b954bae643ec8d662174c5;209;184;436;461;602;318;432;682;61;308;711;655;456;433;647;754;98;125;223;10344;2392;332;1025;14.8125;17.3125;145330;450;75.04545454550001;11.3636363636;13.5909090909
mmultconst;026cd03c485e3196ffacfd589ca434ec6fd11e73;89;123;308;276;308;367;214;464;61;308;493;457;186;522;456;536;77;121;198;10600;2392;332;1025;6.0;14.0625;145586;232;84.45454545449999;4.54545454545;11.0
