bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
quicksort;001989afa4904e3a2a88e56d55b782182ffae52f;5106;6931;6932;7455;8645;8632;7521;8994;61;455;9031;8995;2685;9060;4720;9074;1539;624;2163;12476;3192;668;1025;19.1875;29.9375;176863;8567;60.0;17.4545454545;22.5454545455
quicksort;00275cd86460ba88806e4595e9f3e7fdcea152a7;3181;2821;7339;7410;7870;7309;7945;8343;61;452;8359;8336;4764;8401;6355;8415;1484;584;2068;11624;3192;664;1025;21.5;26.1875;148593;7967;60.9090909091;19.0;20.0909090909
quicksort;002b58e6410c6c158f59873fdd09cff79e0e1ab0;3232;5380;7598;7142;8269;7551;8084;8600;61;452;8616;8574;7678;734;2080;8672;1499;564;2063;11752;3192;664;1025;20.75;26.625;148721;8224;61.4545454545;18.4090909091;20.1363636364
quicksort;00308975357ce151dfb2472a420a0cd4d446ec96;7293;3843;6997;7106;2801;7502;8162;8391;61;452;8631;8588;2522;737;6194;8687;1439;584;2023;11880;3192;664;1025;21.8125;27.125;148851;8239;60.136363636400006;19.2727272727;20.5909090909
quicksort;00580d8315d13c9e070cdb0dd5e88481627e9362;3564;5724;7245;7368;8456;7500;8191;8750;61;452;8779;8720;6166;583;3702;8822;1444;627;2071;18300;3192;664;1025;22.0625;25.75;200032;8374;60.636363636400006;19.9545454545;19.4090909091
quicksort;005b16930d08a90f6fb132d07a5b194ff2ec6cb6;3926;2726;8122;7465;5166;7917;8396;8883;61;452;9017;8981;4834;9046;8967;9060;1361;630;1991;10600;3192;664;1025;21.625;28.875;146590;8612;59.136363636400006;18.9545454545;21.9090909091
quicksort;005e30ad1c06e54669841f1731dcbb8ea453cce9;5061;6770;7269;6697;7873;7323;7827;8364;61;452;8380;8357;1573;8422;4450;8436;1468;564;2032;11624;3192;664;1025;19.6875;24.5;148593;7988;63.5909090909;17.6818181818;18.7272727273
quicksort;00e4c15f1b598f4e9982c70bab1bfeba171daf0a;3782;8212;8170;7738;8210;7360;8287;8688;61;452;8704;8681;6925;8746;2717;8760;1193;584;1777;18172;3192;664;1025;21.375;25.25;199870;8312;62.0454545455;18.4545454545;19.5
quicksort;00ebdef574696d95dbfa2c5dda9e425d0684f2fa;5442;7577;7887;7606;2791;8697;8611;9037;61;452;9066;9030;2769;9095;8771;9109;1569;610;2179;10664;3192;664;1025;20.5625;26.125;146654;8661;62.4090909091;17.5;20.0909090909
quicksort;00fc4b68fd9c14d410075753e58f670fd77f3037;4505;4147;9040;8660;9675;9465;9514;9751;10035;9747;10034;10014;6719;10079;3694;10093;2033;598;2631;12924;3192;668;1025;19.75;26.6875;176809;9586;62.0;17.363636363599998;20.6363636364
quicksort;0137731c690cc18f1713c9a24c49b52ccb3c03ad;3420;4246;7209;6837;8044;7343;7625;8175;61;452;8291;8268;5181;8333;2238;8347;1331;584;1915;11688;3192;664;1025;23.0;25.875;148657;7899;60.2272727273;19.8181818182;19.9545454545
quicksort;01401062e390775273f22a74677cb6472064bdb3;4482;4224;9058;8642;9666;9472;9516;9751;10035;9747;10034;10014;6719;10079;3640;10093;2033;598;2631;12924;3192;668;1025;20.5625;25.8125;176809;9586;62.136363636400006;18.0909090909;19.7727272727
quicksort;018fdb48d6c3c499968de83f73959de42fdb050c;3397;4320;7353;6663;8125;7393;7715;8184;61;452;8375;8352;5181;8417;2237;8431;1329;564;1893;18300;3192;664;1025;23.0;26.1875;199996;7983;59.8181818182;19.8181818182;20.3636363636
quicksort;01ad578927d191b6e989026f562ae35293d8f5eb;5393;6128;6989;7385;2931;7791;8623;9052;61;452;9081;9045;3532;9110;8783;9124;1638;610;2248;10664;3192;664;1025;20.0;24.5;146654;8676;63.1818181818;17.8181818182;19.0
quicksort;01cf478465917284d287bb2bd10299d9dcdf2fd2;7912;8230;8435;8112;2945;7573;7652;9158;61;455;9187;9151;5620;9216;4263;9230;1407;645;2052;12412;3192;668;1025;20.4375;27.625;176297;8723;61.6818181818;17.363636363599998;20.9545454545
quicksort;01f12350b5132948b244a155292bd24eeb090d9b;8541;7788;8020;7380;6577;4774;2047;9297;61;452;9326;9272;8857;582;7272;9369;1378;631;2009;10600;3192;664;1025;21.0;25.4375;146592;8921;62.1818181818;18.6818181818;19.1363636364
quicksort;01f25982147b7a2592898c9271f03907235131f0;3922;4272;7727;7038;8251;8182;7854;8526;61;452;8770;8747;5998;8812;2507;8826;1331;585;1916;12136;3192;664;1025;24.3125;26.125;149607;8378;58.8181818182;21.2272727273;19.9545454545
quicksort;01f4d18d9bbeed455a21345e04beef3284a02b01;5138;7225;7338;6991;8169;7443;8075;2024;61;452;8520;8484;1137;8549;4719;8563;1446;610;2056;10664;3192;664;1025;19.9375;27.25;146654;8115;61.5909090909;17.636363636400002;20.7727272727
quicksort;0237f5131cc837509781d57ae5afb6aef3cdc69a;8366;8639;8876;9066;9609;8856;9525;9919;61;452;9935;9896;1964;732;3399;9991;2173;584;2757;11752;3192;664;1025;16.125;27.6875;148721;9543;63.5454545455;15.6363636364;20.8181818182
quicksort;0240862408bf9f86f69e1f5b47ff55046503472a;6819;4832;8122;7883;2991;7718;8494;9137;61;452;9160;9137;1594;9202;6162;9216;1507;584;2091;18300;3192;664;1025;21.75;24.6875;199996;8768;61.3636363636;19.6363636364;19.0
quicksort;0247f63342fbd594c933c5e1dbfa706a0ac89a71;4609;6031;8132;7865;9225;9135;8430;9192;2361;830;9354;9330;6776;9754;4249;9768;1331;584;1915;19132;3192;664;1025;25.375;27.5;200828;9320;57.136363636400006;21.6363636364;21.2272727273
quicksort;0299b7f490be2448232387d93590c9678cb0d655;3126;4422;7953;7528;8265;7464;7892;8410;61;452;8522;8499;5132;8564;1466;8578;1329;584;1913;11624;3192;664;1025;22.3125;27.125;148593;8130;59.9090909091;19.3181818182;20.7727272727
quicksort;02c274d258c93b4b814096532241925342481d15;12694;19970;10777;8107;6503;41377;41080;41474;61;452;41503;41456;314;569;41448;41546;12892;2024;14916;19388;3192;664;1025;3.625;13.9375;219359;41098;83.5909090909;5.090909090909999;11.3181818182
quicksort;02c76d24d09c923e389e2c37edc5797f4f8417bc;5560;7519;7865;7705;7428;8785;1358;8891;61;452;8907;8884;1744;8949;8560;8963;1498;584;2082;11688;3192;664;1025;20.625;25.1875;148657;8515;62.4545454545;18.0454545455;19.5
quicksort;02fd523bdf415171d61ad0553b872d3aff5b2b15;5270;3224;6039;7240;1442;7987;7709;8330;61;452;8350;8327;2639;8392;6696;8406;1496;585;2081;18684;3192;664;1025;20.125;26.0625;200670;7958;62.4545454545;17.5909090909;19.9545454545
quicksort;033030d7abaa12bc5643a7bd13b0167477bd9d74;5591;7287;7419;7153;8237;7509;8059;8555;61;452;8584;8548;1367;8613;4889;8627;1446;610;2056;10664;3192;664;1025;20.5625;25.5625;147156;8179;61.3636363636;18.5909090909;20.0454545455
quicksort;036c8341e1d9eeacf7c0f3a1cef8cda2c3a07448;2451;4275;8036;7954;8297;8666;8597;1504;61;452;9011;8988;5608;9053;8660;9067;1416;585;2001;12136;3192;664;1025;21.25;27.625;149607;8619;60.2727272727;18.6363636364;21.0909090909
quicksort;03998e11e9236df0e700fdd911ad2d0f7811932e;7937;2177;6432;7637;4620;3113;9010;9373;7979;452;9719;9683;2474;9748;6431;9762;1553;627;2180;10728;3192;664;1025;22.4375;26.25;147220;9314;60.0;19.9090909091;20.0909090909
quicksort;03aa11bf4d96080ef87b45472fddfb59fdce5aaf;8340;1503;5970;7746;6648;4993;8919;9272;7775;452;9635;9599;2963;9664;4246;9678;1361;626;1987;18428;3192;664;1025;21.9375;26.0;200414;9230;60.7727272727;19.2727272727;19.9545454545
quicksort;03ae72847cde0a5ff1bb96ed6daa775c46f3fbd4;4461;5827;8222;7726;9044;8913;8651;9238;61;452;9299;9276;6008;9341;2513;9355;1778;580;2358;18300;3192;664;1025;24.625;27.5;199996;8907;57.4545454545;21.5;21.0454545455
quicksort;03f4c5807e8a3466d4610596f9baa7020d7f94aa;5279;3721;6470;7256;2411;7788;7922;8348;7217;452;8632;8596;3290;8661;3499;8675;1368;611;1979;11432;3192;664;1025;23.3125;27.4375;147422;8227;58.9545454545;19.8636363636;21.1818181818
quicksort;041cad32cefaebfff4bc44fcc90fe833abbb0f75;22508;1963;9627;12254;22881;22840;22543;22937;61;452;22966;22919;314;569;22939;23009;12892;2024;14916;11368;3192;664;1025;3.4375;16.6875;147360;22561;80.8636363636;6.0;13.1363636364
quicksort;04d4d14f1e7d0e2dc7df84402b9e36247184e3d1;3420;4195;7200;6712;7997;7898;7589;8186;61;452;8242;8219;5784;8284;2237;8298;1331;585;1916;11624;3192;664;1025;23.3125;27.3125;149095;7850;59.0;20.0909090909;20.9090909091
quicksort;04d8f2395d9a274454855cc840d4c52779bf4d77;11780;14354;1877;2060;18401;14693;19238;4077;22721;23732;24989;25742;470;25807;24932;25821;2081;584;2665;12732;3192;664;1025;17.6875;29.875;183269;25373;60.9090909091;15.9090909091;23.1818181818
quicksort;0545785c4c361e1cfc07fa3b06d6775854593237;3891;2148;8508;7923;9842;9179;9434;10018;2318;2380;10099;10076;6452;10141;4759;10155;1439;584;2023;12584;3192;664;1025;25.3125;27.75;149553;9707;56.8636363636;21.818181818200003;21.3181818182
quicksort;0566c58b96208b67de854c920255e6ff5f2710e7;1676;4394;7654;7735;8292;7559;8226;8627;61;452;8656;8620;4521;8685;8605;8699;1559;630;2189;10664;3192;664;1025;20.125;25.5;147156;8251;62.1818181818;17.863636363599998;19.9545454545
quicksort;0583ade17a5f9cac00b5a239520d2f08122d8aa6;1666;1673;7382;6534;4695;7432;7706;8390;61;452;8451;8428;5148;8493;8415;8507;1315;584;1899;11752;3192;664;1025;22.0625;26.9375;148721;8059;59.8636363636;19.5454545455;20.5909090909
quicksort;061032bcb942400ea859e308e6bcceb933dcdbaf;2151;7441;7037;6690;7204;7816;5222;7917;61;452;7933;7910;1494;7975;7290;7989;1416;581;1997;11880;3192;664;1025;18.375;28.0625;149351;7541;61.636363636400006;17.0454545455;21.3181818182
quicksort;067406525541e1e9cf5fb5a11e61dd80596c28c5;3511;4256;7453;7045;8286;8151;7889;8476;61;452;8537;8514;5772;8579;2839;8593;1439;581;2020;11688;3192;664;1025;23.375;28.5;149159;8145;57.5909090909;20.2727272727;22.1363636364
quicksort;0678ff3b4f42090a0f8c48c0cc46ad05f5162ed0;3325;5743;7404;7056;8266;1327;8185;8495;61;452;8616;8593;7681;8658;2558;8672;1478;564;2042;18236;3192;664;1025;21.1875;27.625;199900;8224;60.7272727273;18.2727272727;21.0
quicksort;068d07cb06048b6345168775747a7d5af055b566;2377;9280;8381;9390;10048;9296;1611;10353;61;452;10382;10346;3143;10411;10033;10425;2217;610;2827;10600;3192;664;1025;16.5;27.75;146590;9977;62.5454545455;15.9545454545;21.5
quicksort;06c36f9de99393d271a3e0b8865f58ec4c010320;8690;7323;6555;8118;5877;4161;2685;9150;61;452;9179;9143;7465;9208;8886;9222;1377;630;2007;10536;3192;664;1025;20.8125;25.6875;146526;8774;61.6818181818;18.4545454545;19.8636363636
quicksort;06fd4ab7db65ea108333dcbd56072799a7da657c;3337;5712;7357;6918;8060;7526;8053;2225;61;452;8600;8577;7861;8642;1975;8656;1524;564;2088;11688;3192;664;1025;21.5;25.625;148657;8208;61.5;18.9545454545;19.5454545455
quicksort;072315d3618175a55e0f0dcf11b3ed7350fbd7e4;3325;5272;7223;6874;7989;7520;8041;2130;61;452;8483;8460;7653;8525;2322;8539;1524;564;2088;11752;3192;664;1025;21.3125;27.1875;148721;8091;60.2727272727;18.9090909091;20.8181818182
quicksort;0742afb46a328864f0efc9ca95775b08a5f116e4;5421;8216;7063;7817;8201;9081;8793;9187;61;452;9216;9180;2412;9245;8907;9259;1718;631;2349;10600;3192;664;1025;18.6875;26.25;146590;8811;62.6818181818;17.2272727273;20.0909090909
quicksort;074782cb590bed96d376d7c1dd8d0501830d1eee;5149;3783;6550;7101;2436;7664;7955;8156;8663;8403;8698;8678;3370;8743;3620;8757;1404;578;1982;12348;3192;668;1025;22.75;32.5625;176233;8250;54.4090909091;20.3181818182;25.2727272727
quicksort;0769927726ee305e731990a581be608e8d83a1f3;4128;8240;7159;7097;2669;8429;8090;8464;8802;8505;8801;8781;2288;8846;8518;8860;1576;601;2177;12476;3192;668;1025;24.875;29.0;176863;8353;56.3636363636;21.4090909091;22.2272727273
