bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
sha_short;02ba0062fad100b1f81eea973dcd3ae556427bb8;74591;56978;68579;58486;69770;70857;50090;53276;50801;21016;54803;80858;45097;81307;53948;81321;16057;6011;22068;12988;4664;360;1025;0.125;29.8125;178539;80950;77.0;0.181818181818;22.8181818182
sha_short;02cd1edebf60370756c0dcab59089cc00d21a348;78793;52936;69142;61287;44953;43437;40103;53232;52958;40695;55260;55748;57100;81949;59710;81963;16430;6108;22538;12264;4664;356;1025;0.125;17.25;150397;81651;86.5;0.0909090909091;13.4090909091
sha_short;0cce5bba34e68d0978dd4233953f2b39191e08b2;39037;40551;51274;48269;57508;50117;51681;33960;37806;45806;48122;26860;53910;57956;53479;57970;13487;6741;20228;18728;4664;356;1025;0.0625;14.625;157363;57658;88.0909090909;0.181818181818;11.7272727273
sha_short;1356aa51dcd5839fd19c809dc32916c3e5a4dd3f;72145;67795;56400;65126;79308;79223;78962;79178;1407242;67744;32568;43699;72327;79460;79037;79474;11325;5701;17026;25468;4664;356;1025;0.0;20.3125;208336;79162;84.2727272727;0.0;15.7272727273
sha_short;138b5ef456d6a521afdbbb6f43f83a0a5912a4a3;56673;43840;42533;37609;47361;54825;46031;51847;45999;49988;48426;47521;48925;60186;41698;60200;15077;6111;21188;17084;4664;360;1025;4.1875;21.125;222703;59829;80.1818181818;3.59090909091;16.2272727273
sha_short;160b5d2c87a0239f5067c396e74a204ed7561874;53358;54458;59181;59825;73065;67193;69409;70438;47075;45377;50616;46443;62039;73557;56828;73571;11057;5848;16905;14056;4664;356;1025;0.0;19.5;152189;73259;84.3636363636;0.0909090909091;15.5454545455
sha_short;16f167762e0831cfb414ce88b0217c7c0c8cbb37;44716;45134;45351;39849;46890;42061;36499;42166;39854;34953;43141;43635;45796;54215;45767;54229;13561;5708;19269;23356;4664;356;1025;0.0625;10.375;202059;53917;91.0454545455;0.0909090909091;8.86363636364
sha_short;193c0fa6ae9c020ad01fba875412a875ca385613;74484;33203;69161;64518;57941;49829;48796;49110;53350;40314;26189;55482;50153;81457;62793;81471;16430;6073;22503;12328;4664;356;1025;0.0;24.9375;150967;81159;80.2272727273;0.0909090909091;19.6818181818
sha_short;1aafdba434cd62e39bf61efdfc297dfe44c2bef4;47066;34837;44243;46785;47337;46222;46685;44054;30888;29933;26007;23087;31889;49864;42281;49878;11003;5602;16605;17128;4664;356;1025;0.0;14.1875;155263;49566;88.2727272727;0.136363636364;11.5909090909
sha_short;1e45480f734735a9a56762c944a4b98a2ad41c8b;75412;36275;58456;58106;67361;54171;71152;69756;66876;46639;62081;59968;54295;78681;37588;78695;11711;6104;17815;22140;4664;356;1025;0.0;18.125;205008;78383;85.5454545455;0.0454545454545;14.4090909091
sha_short;1fd02dae3a1f5276d0c78a9e3dab6a153c8bbcd1;58186;55501;65588;61113;74259;68649;68566;65918;55082;41339;41280;47110;40368;74751;71714;74765;12174;5741;17915;13416;4664;356;1025;0.0625;19.75;151549;74453;84.2727272727;0.136363636364;15.5909090909
sha_short;20ef9b8330439e2b3d8592b1d518d9a8765bd1ac;48549;35816;44794;44677;39918;40953;45942;48071;31089;31335;24368;22941;32316;49898;41359;49912;10968;5601;16569;19836;4664;356;1025;0.0;14.8125;198539;49600;88.1818181818;0.0;11.8181818182
sha_short;21c5b276d056c75464f2b7f425ed9fbbae1de038;53669;59974;56984;61481;70721;67408;67142;69725;26541898;42184;51737;50153;50703;71062;55519;71076;9491;5491;14982;15400;4664;356;1025;0.0;20.0625;153533;70764;83.8636363636;0.181818181818;15.9545454545
sha_short;23d950814034e33a12f1a6a4cabc4ad812168972;43365;40482;40655;36798;50219;52277;43513;44487;44756;33051;38989;42851;44430;60304;42901;60318;11327;6538;17865;15912;4664;356;1025;0.0;21.25;154047;60006;83.5909090909;0.0;16.4090909091
sha_short;2541ff2950b7d5832e1ca3dff2c902eb10ae7cb9;57456;47403;57333;61284;68031;50128;57622;64946;56777;53716;17564;51088;46429;71704;61129;71718;12151;5922;18073;15656;4664;356;1025;0.0;15.0625;153789;71406;87.9545454545;0.0;12.0454545455
sha_short;257542f5b7cf38a3cc7395d3a7358c6cb52a46cb;51606;39672;39424;44778;48186;46674;46758;35527;41237;35959;42892;40111;45808;52956;49379;52970;10937;6220;17157;22268;4664;356;1025;0.0;18.375;205136;52658;85.5909090909;0.0909090909091;14.3181818182
