bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
tarai;00222c3b65436a731de355e916358b93c9ff3352;224;190;277;238;499;391;244;479;224;284;657;621;146;686;532;700;74;116;190;10344;2392;280;1025;1.3125;20.125;145150;420;83.3636363636;1.0;15.6363636364
tarai;0079be1a06d5779d8ac464771807fe7c1817ec74;175;144;324;278;357;329;236;442;169;284;508;481;150;673;482;687;97;147;244;18856;2392;280;1025;1.325;17.4;153662;407;85.2181818182;1.04545454545;13.736363636400002
tarai;00f982e54dac065b7ce177851595deabdb77aad0;259;170;279;234;471;400;253;506;242;284;684;648;146;713;532;727;74;116;190;17980;2392;280;1025;1.6875;21.625;198792;447;82.1818181818;1.22727272727;16.5909090909
tarai;015927c0b0e45115f3a7a972ea64f1e282c5002b;162;119;306;284;351;329;224;425;164;284;506;459;146;676;477;690;111;150;261;20604;2392;280;1025;1.3125;17.375;201414;410;85.27272727270001;1.0;13.7272727273
tarai;015dba800954efca49bd659973aa6c3dcbb62edf;223;153;292;236;452;401;366;489;215;284;667;631;146;696;543;710;74;116;190;17980;2392;280;1025;1.5625;20.1875;198790;430;83.0909090909;1.13636363636;15.7727272727
tarai;017f2aa753ffecffc15fae66d824dc3446a4c6b8;179;119;290;339;395;333;194;425;195;369;506;449;150;665;474;679;93;152;245;26620;2392;280;1025;2.0;19.625;207430;399;82.8636363636;1.5;15.6363636364
tarai;019bf6c40a75ea15f3de36c46a47746c7488f47b;320;191;419;415;916;875;746;972;61;284;1001;916;146;752;688;1044;261;249;510;10536;2392;280;1025;0.875;14.4375;145344;764;87.86363636360001;0.8181818181820001;11.3181818182
tarai;01ec9e3e2dd2de2d93719a410728af4fb88b829f;246;164;293;236;453;393;291;621;221;284;687;651;150;716;539;730;75;117;192;10344;2392;280;1025;1.0625;21.8125;145150;450;82.22727272729999;0.7727272727269999;17.0
tarai;0218d4bc8aefea9b9ee6bca66ec6809d073a0289;366;271;436;345;628;446;300;761;238;477;911;875;173;940;609;954;171;148;319;12412;2392;284;1025;1.2374999999999998;25.375;175615;615;79.3;1.0;19.7
tarai;023c972d5c8afc235226916ced5d463d5a30bd5f;216;178;273;233;448;404;304;559;244;284;669;633;150;698;532;712;74;116;190;10472;2392;280;1025;1.75;22.0;145780;432;81.5909090909;1.27272727273;17.136363636400002
tarai;025cdd313e6350a8585f9f26fa1b94213fa3f772;427;342;273;231;742;626;542;741;446;284;909;873;152;938;776;952;74;116;190;11132;2392;280;1025;2.15;26.025000000000002;172770;672;78.3545454545;1.6454545454499998;20.0
tarai;0266d666cc6b65bc876c8b555dcf6af61bdbca3e;201;172;355;463;440;421;314;629;220;284;700;664;154;729;530;743;74;116;190;10472;2392;280;1025;1.5;23.625;145280;463;80.1818181818;1.22727272727;18.5909090909
tarai;02b5ab62551b1238e606c6caa77f36756d77ce1d;234;153;292;236;442;382;280;610;215;284;676;640;146;705;533;719;74;116;190;10344;2392;280;1025;1.5625;21.3125;145150;439;82.1818181818;1.3181818181799998;16.5
tarai;02b9efe6bac4c7ae8e1185babf9ca1a84a6b608b;226;166;290;234;540;403;301;527;224;284;678;642;150;707;539;721;75;117;192;10600;2392;280;1025;1.5;20.0625;145408;441;82.8636363636;1.22727272727;15.9090909091
tarai;02d1854f3d8f8e8a7f90f862224bf3be4895c3e0;215;183;318;237;391;398;210;513;122;284;540;458;149;691;512;705;91;169;260;20604;2392;280;1025;1.25;19.6875;201374;425;83.8636363636;0.909090909091;15.2272727273
tarai;031ac3f5f877455ce2b730f1ada76da611277ac0;190;196;306;281;442;404;198;505;121;284;538;502;146;693;510;707;91;169;260;20668;2392;280;1025;1.4375;19.25;201478;427;83.3636363636;1.09090909091;15.5454545455
tarai;031e4b194a17b18bc78ed31b5aafb0b22fc6fef4;188;162;254;444;460;430;290;556;244;360;589;437;150;695;527;709;72;114;186;10728;2392;280;1025;1.9375;26.5;146036;429;78.04545454550001;1.59090909091;20.3636363636
tarai;032b8b98e6a0fc86c859e08e2853e3ba35187573;93;86;208;264;421;316;218;453;111;311;412;358;182;599;415;613;86;124;210;49212;2392;280;1025;3.3249999999999997;19.787499999999994;229732;333;82.2181818182;2.5;15.2818181818
tarai;049f036ad9934865dc415d9dc499055f669cc43d;367;352;308;240;698;673;560;722;413;284;912;876;146;941;757;955;74;116;190;18044;2392;280;1025;2.25;24.625;210345;675;79.1818181818;1.72727272727;19.0909090909
tarai;04c59b49072e225de2426017ce412e71d998b419;380;362;313;235;698;673;551;722;395;284;912;876;146;941;758;955;74;116;190;18044;2392;280;1025;1.625;26.5625;210055;675;78.45454545449999;1.27272727273;20.2727272727
tarai;04d460a167b6912bf35511316ee6c8d6284d6a66;241;163;290;235;444;384;282;612;224;284;678;642;150;707;529;721;75;117;192;10344;2392;280;1025;1.875;20.5;145150;441;82.6363636364;1.5;15.8636363636
tarai;05035788d1105d901ce53301525f7284c20a6d01;180;119;291;339;394;334;192;425;195;369;506;449;150;665;474;679;93;152;245;26620;2392;280;1025;2.75;19.25;207432;399;82.8636363636;2.22727272727;14.9090909091
tarai;050e19e93a6145fa5bb8e46d90ff9fe55bb2966c;235;164;293;236;463;412;310;612;221;284;687;651;150;716;549;730;75;117;192;17980;2392;280;1025;1.6875;22.0;198750;450;82.1818181818;1.22727272727;16.5909090909
tarai;0553ee28f277bb73456a39341b75091f830f297a;229;180;314;306;445;360;252;514;124;423;514;510;156;693;513;707;90;170;260;23676;2392;280;1025;1.4375;19.5;204446;427;83.3181818182;1.13636363636;15.5454545455
tarai;0563ed3412e23a8fca3196883868c45c54d60c1e;203;162;341;236;466;441;319;490;200;284;680;644;154;709;518;723;75;117;192;10344;2392;280;1025;1.875;20.5625;145654;443;82.3636363636;1.40909090909;16.2272727273
tarai;059d8074063577335783b73673eb915de0b6caaa;209;197;302;280;413;366;220;505;120;284;538;502;150;685;505;699;90;170;260;20668;2392;280;1025;1.375;20.25;201188;419;83.3181818182;1.0;15.6818181818
tarai;069db74fb0ec3b64a5c81c38a89ba3a5f91bb8cd;263;170;341;229;495;460;300;581;238;284;746;662;152;596;536;789;76;118;194;10408;2392;280;1025;2.125;21.3125;145214;509;81.77272727270001;1.6818181818200002;16.5454545455
tarai;069fd68ddd09ae9daa86cf2c031f95fe80ad0d8d;174;113;281;274;366;348;205;422;119;407;458;405;152;653;485;667;94;140;234;13288;2392;280;1025;1.6125;18.924999999999997;148094;387;83.8545454545;1.28181818182;14.8636363636
tarai;06be575fce4b0c0f2c9ceced12c7caf4ac5363d1;160;119;435;396;389;346;197;465;104;354;507;471;166;729;424;743;142;162;304;526652;2392;284;1025;2.0;17.9625;734031;404;84.54545454550001;1.5;13.9545454545
tarai;06f79817a07e5426ea38ebc311bda9a357875669;227;219;352;237;493;430;283;491;215;284;679;643;150;708;540;722;75;117;192;10344;2392;280;1025;2.375;21.8125;145652;442;81.27272727270001;1.81818181818;16.9090909091
tarai;0702b6c9ce4c32ab8a8ba879b41264b83bc64cdd;234;153;292;236;451;391;289;619;221;284;685;649;146;714;542;728;74;116;190;17980;2392;280;1025;1.5;21.125;198500;448;82.5;1.13636363636;16.363636363599998
tarai;070fa8e54ea600bb35803ec8aa8226672ac97133;418;251;468;350;538;468;312;825;251;666;938;902;170;967;627;981;176;150;326;18812;2392;284;1025;1.5624999999999998;25.8;226521;642;79.0090909091;1.22727272727;19.7636363636
tarai;0724f91fc4faa8d2798acd60f71bd004cb4d8779;213;159;340;315;393;380;198;477;169;284;513;477;146;682;483;696;94;153;247;18536;2392;280;1025;1.0;19.0;153844;416;84.27272727270001;0.7272727272730001;15.0
tarai;07268d18e9d235dcba11c53dbff61709b60f2731;245;164;293;237;453;393;255;612;221;284;678;642;150;707;539;721;75;117;192;10344;2392;280;1025;2.0625;20.5;145150;441;82.3636363636;1.59090909091;16.0454545455
tarai;072809f6ff550f0551d0bee971c485c5a8a8c020;202;136;295;279;440;351;213;490;116;284;527;491;150;704;494;718;108;166;274;20988;2392;280;1025;1.5;18.625;201508;438;84.0909090909;1.13636363636;14.7727272727
tarai;0774c534f5ff5a9ecbd42f54422aa96c5706742a;204;143;319;307;362;374;186;469;163;284;505;469;146;674;475;688;94;153;247;18984;2392;280;1025;1.0;20.0;154292;408;83.72727272729999;0.8181818181820001;15.4545454545
tarai;077aba4e8b2e729ee4d1aed8329e248cff208830;188;144;327;315;408;320;234;441;168;284;513;477;146;683;483;697;94;157;251;18536;2392;280;1025;1.0625;18.3125;153844;417;84.8181818182;0.7727272727269999;14.4090909091
tarai;07ae9cd014b9650934eb4f0638a590a5c0f720b4;636;421;552;540;1391;1345;1198;1456;61;287;1485;1403;158;1080;979;1528;383;281;664;13180;2392;284;1025;0.6875;15.6875;203005;1189;86.5909090909;0.590909090909;12.8181818182
tarai;07b90147d9ae6b8f20722b940f43e553aacd4dec;315;191;422;417;916;875;746;972;61;284;1001;916;146;752;688;1044;261;249;510;10536;2392;280;1025;0.4375;15.8125;145342;764;87.0;0.409090909091;12.5909090909
tarai;085f0c02c80b3cebdf710f13546e8cbdd15afbcd;225;177;272;232;428;384;286;549;234;284;669;633;150;698;522;712;74;116;190;18108;2392;280;1025;1.9375;20.0625;198912;432;83.0;1.5;15.5
tarai;089af1acb2fb87c9a5ee4138bc09e86aeb5f0b15;234;153;292;236;451;391;289;619;221;284;685;649;146;714;542;728;74;116;190;10344;2392;280;1025;1.0;21.125;145150;448;82.8636363636;0.7272727272730001;16.4090909091
tarai;08e8656087e5823b55fd018f5ee92d8cba4790d5;84;68;303;350;305;274;144;376;89;284;410;374;146;603;373;617;95;141;236;573096;2392;280;1025;1.4;16.6;707902;337;85.8545454545;1.12727272727;13.0181818182
tarai;08fbb9f07693a5e6ee061b05e3521e86d1563df1;228;164;295;245;431;395;209;427;218;382;522;447;150;686;502;700;93;163;256;20924;2392;280;1025;2.1875;21.625;201694;420;81.4090909091;1.72727272727;16.863636363599998
tarai;091993b207b96c9683e015d059437760b9760213;197;201;323;294;367;370;279;507;120;284;542;506;150;689;508;703;100;170;270;13096;2392;280;1025;1.3125;19.125;147904;423;83.77272727270001;1.09090909091;15.1363636364
tarai;097b8e76f8018789f32295fa58fbb7207ef11409;126;105;315;312;330;303;152;380;125;336;435;378;150;623;401;637;94;146;240;542076;2392;280;1025;2.5;16.8125;722886;357;85.0909090909;2.0;12.9090909091
tarai;097f43d55a326250ed676b18a9e738673c4cc578;234;164;291;239;463;412;274;603;221;284;678;642;150;707;549;721;75;117;192;10344;2392;280;1025;2.0625;20.875;145652;441;82.0;1.59090909091;16.4090909091
tarai;099f18b4ea9ea1667b5abf3216a25537f7abf3f7;226;209;279;236;492;412;274;491;215;284;659;623;150;688;540;702;75;117;192;10344;2392;280;1025;1.75;21.6875;145652;422;81.8636363636;1.36363636364;16.7727272727
tarai;09a67b0aad9eb12144f13cb182309100ee47923e;182;120;301;291;351;315;230;429;176;284;514;465;146;672;484;686;96;146;242;20668;2392;280;1025;0.9375;18.25;201446;406;85.0909090909;0.8181818181820001;14.0909090909
tarai;09c96b28b1845fc0335f99f3e8b5e01d840a4d1f;215;179;298;237;429;386;250;496;118;409;477;495;149;688;502;702;91;169;260;23612;2392;280;1025;0.5625;19.5625;204382;422;84.1818181818;0.590909090909;15.2272727273
tarai;09d67d380f6482dafd37ded74c8abdaf56d6973d;216;200;311;305;423;384;226;505;120;284;538;502;150;705;505;719;98;170;268;13288;2392;280;1025;1.1875;20.0625;148094;439;83.4090909091;1.04545454545;15.5454545455
tarai;09f21831d5a01240abe2b7703245d0e2ee131652;204;189;321;245;359;387;267;486;118;284;533;487;149;680;510;694;100;170;270;19752;2392;280;1025;1.3125;18.3125;154560;414;84.6363636364;1.09090909091;14.2727272727
tarai;0a3afe7b15991999011aa239650eb1459867fecc;212;191;299;283;416;375;197;505;120;284;538;502;154;685;503;699;92;170;262;20732;2392;280;1025;1.3125;19.6875;201542;419;83.9090909091;0.954545454545;15.1363636364
tarai;0a86659f29cc6e0e307c6a720daa3d1aa272364e;228;184;300;232;431;356;244;499;118;284;500;490;156;683;499;697;90;170;260;13032;2392;280;1025;1.3499999999999999;19.2375;147840;417;83.8545454545;1.08181818182;15.0636363636
tarai;0a9ac0d3e65975386e9b07affc300731f0dd988a;170;117;283;315;370;350;209;426;117;409;462;410;150;658;467;672;95;141;236;20924;2392;280;1025;1.9375;20.375;201702;392;82.8181818182;1.45454545455;15.7272727273
