bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
heapsort;001e4fc642e659a69fbc4295a2548b7f609e6d90;5067;8601;8490;8412;2295;9209;9444;9845;61;452;9874;9838;9062;9903;4274;9917;1684;630;2314;19964;3192;664;1025;19.5625;26.3125;201950;9469;61.9545454545;17.7727272727;20.2727272727
heapsort;002fdaf0b357aac6d0db5bf1fcc7fa00a8b2a0ac;3757;4390;7529;6930;7617;8092;7825;8204;2107;452;8475;8452;5405;8517;2278;8531;1330;565;1895;11688;3192;664;1025;25.875;27.4375;149161;8083;57.4545454545;21.7727272727;20.7727272727
heapsort;00698a418762385ec62632e2f8869697dd067388;7613;7740;6429;7952;5610;4100;3033;8878;61;452;8907;8871;8424;8936;8580;8950;1377;630;2007;10536;3192;664;1025;19.8125;26.25;146526;8502;62.4090909091;17.5454545455;20.0454545455
heapsort;00d517fd06b21b9da91f1b90c9cb985f0b514a47;3364;4207;7574;7122;8289;7432;7874;8461;61;452;8539;8516;5169;8581;2769;8595;1439;584;2023;11688;3192;664;1025;23.5625;28.375;148657;8147;58.3636363636;19.8636363636;21.7727272727
heapsort;00df6398c0dfcf078885dc8d52363cf66e57877d;6768;9815;8476;8543;9309;9683;9275;916;61;452;10298;10275;7706;10340;4858;10354;1400;564;1964;14760;3192;664;1025;22.0;25.875;151729;9906;60.6636363636;19.3545454545;19.9818181818
heapsort;00e42101863e567a34ccaac0e442aec8ab88e4a0;3951;8151;8794;7552;7373;9044;9695;10229;61;452;10349;10326;6610;10391;3157;10405;1728;584;2312;18300;3192;664;1025;23.25;26.0625;199996;9957;60.0;20.0;20.0
heapsort;014eaf25ec1744a629bb29246f0aca123203857e;2239;7165;7482;7450;8206;7721;8144;8538;61;452;8567;8531;4494;8596;8260;8610;1559;630;2189;10664;3192;664;1025;17.0625;27.125;146656;8162;63.6818181818;15.3181818182;21.0
heapsort;016bed8cdbb84e950f3f615a34229087513f059b;4531;6005;5442;7639;6558;2451;3570;8650;61;452;8666;8643;8165;8708;8305;8722;1616;585;2201;17960;3192;664;1025;19.75;24.8125;155431;8274;62.5909090909;17.863636363599998;19.5454545455
heapsort;01910451b5d02ac3196bb0dbb3a4568b5f43e7e5;5566;8526;8834;8031;5526;6646;3200;4068;61;452;9101;9078;8609;9143;6737;9157;1331;584;1915;11624;3192;664;1025;23.0625;27.0;148593;8709;59.6818181818;19.5454545455;20.7727272727
heapsort;01c7bb621b92d362d07ea4c5921b1839c8778f83;3821;4817;7518;6892;8061;7536;8129;1771;61;452;8545;8522;7613;8587;4821;8601;1400;564;1964;11688;3192;664;1025;22.375;26.5625;148657;8153;60.5;19.3181818182;20.1818181818
