bench;ind;r0;r1;r2;r3;r4;r5;r6;r7;r8;r9;sl;fp;ip;sp;lr;totalInstructions;memoryRead;memoryWrite;memoryAccess;text;data;bss;stack;rf_sdc;rf_hang;size;cycles;ft_overall;sdc_overall;hang_overall
mmultvector;007990aa457f3c3a0fa8fdcd335c84a4dc55480e;114;84;308;277;375;355;212;460;61;277;489;453;169;518;388;532;74;114;188;18684;2392;288;1025;2.0;18.3125;226485;203;84.1363636364;1.5;14.3636363636
mmultvector;0179948647c9ed8fcc64a22484eae017e38e5a64;68;62;196;252;268;272;140;369;61;287;398;362;154;427;371;441;47;96;143;10216;2392;284;1025;2.125;14.5625;145122;158;86.72727272729999;1.6818181818200002;11.5909090909
mmultvector;01a43fcc0c099d2d442addb9194121c4d4b93406;78;66;209;234;268;266;134;363;61;287;392;356;163;421;365;435;49;96;145;10216;2392;284;1025;2.0;15.125;145122;152;86.0;1.59090909091;12.4090909091
mmultvector;01bf96c616ae1065bdac117cab917a8d63d6514a;95;180;482;447;798;757;625;854;61;287;883;836;213;403;856;926;322;147;469;10408;2392;284;1025;7.0625;15.6875;145314;643;82.0;5.409090909090001;12.5909090909
mmultvector;0235ba9caef9d1bd4068f8e1bcf08d6486c8c855;71;74;204;248;268;262;130;359;61;287;388;352;151;417;361;431;49;96;145;10216;2392;284;1025;1.625;15.4375;145626;148;86.6818181818;1.27272727273;12.0454545455
mmultvector;028cdedcf8ea8f58a6e4bfe5c2526bf5aa0cfe33;129;128;279;317;355;311;234;463;61;287;492;446;213;400;443;535;73;101;174;10280;2392;284;1025;10.25;15.0;145690;252;80.22727272729999;7.681818181819999;12.0909090909
mmultvector;02baf1ec0f80dd47446176a62fd525aa534eb1f5;68;59;195;254;268;271;139;368;61;287;397;361;150;426;370;440;47;95;142;10216;2392;284;1025;1.75;15.4375;145122;157;86.8181818182;1.27272727273;11.9090909091
mmultvector;02c29daf6cf986c4071ba6ece1956c08397290b9;70;74;203;249;268;262;130;359;61;287;388;352;150;417;361;431;49;96;145;17788;2392;284;1025;1.5;14.6875;198674;148;87.0909090909;1.13636363636;11.7727272727
mmultvector;02d995f093af93f0978a662eb5c6353326ea59ac;75;74;206;243;268;262;130;359;61;287;388;352;151;417;361;431;49;96;145;10216;2392;284;1025;1.625;15.1875;145624;148;86.8181818182;1.27272727273;11.9090909091
mmultvector;035916053cff4b7a00f0515b330065dcac074904;78;66;209;234;268;266;134;363;61;287;392;356;163;421;365;435;49;96;145;10216;2392;284;1025;2.5625;14.8125;145626;152;86.5;1.86363636364;11.6363636364
mmultvector;03bb10caf7bb28acc23d502815848f17b60f6706;227;231;351;424;375;382;309;538;61;287;567;531;329;596;465;610;89;101;190;10280;2392;284;1025;20.1875;13.3125;145188;327;74.0909090909;14.9545454545;10.9545454545
mmultvector;0428caf029b3bf0124e51ac1848a45496cc4ba03;69;75;206;245;268;263;131;360;61;287;389;353;155;418;362;432;49;97;146;17788;2392;284;1025;2.0;14.375;198668;149;86.77272727270001;1.54545454545;11.6818181818
mmultvector;0469316490583f2c64028eb37ee979f6cb7e766d;73;61;194;250;268;271;139;368;61;287;397;361;154;426;370;440;47;95;142;10216;2392;284;1025;1.5625;15.6875;145122;157;86.4090909091;1.22727272727;12.3636363636
mmultvector;057cfc3235378cf27bdfa9ed7a121717338d7313;79;64;209;234;268;266;134;363;61;287;392;356;156;421;365;435;49;96;145;10216;2392;284;1025;1.3125;15.6875;145124;152;86.77272727270001;1.0;12.2272727273
mmultvector;05937f55961b2a7bfa76e77f202adfc2e0307dca;73;61;194;250;268;271;139;368;61;287;397;361;154;426;370;440;47;95;142;17852;2392;284;1025;1.9375;15.0;198738;157;86.77272727270001;1.5;11.7272727273
mmultvector;05b888a71b92ec81c03a0ffd084f8c0c337c37e2;103;130;351;373;429;429;279;508;171;287;574;538;261;603;518;617;82;116;198;10280;2392;284;1025;18.1875;17.25;145186;334;73.0909090909;13.3181818182;13.5909090909
mmultvector;05f0fb66bf2982a1c444b95ef581d04e246ef254;767;844;354;471;966;1640;1508;1737;61;287;1766;1719;149;403;1723;1809;322;147;469;11260;2392;284;1025;9.4375;14.1875;179710;1526;81.3636363636;7.1363636363600005;11.5
mmultvector;069dcb033aae106bb79ff75a9bc97f720ea1cf90;79;64;209;233;268;266;134;363;61;287;392;356;160;421;365;435;49;96;145;10216;2392;284;1025;1.9375;14.3125;145122;152;87.0454545455;1.54545454545;11.4090909091
mmultvector;07498a7ae4995eb486e9f794861da671ff2209ee;70;74;202;249;268;262;130;359;61;287;388;352;151;417;361;431;49;96;145;17788;2392;284;1025;1.9375;15.125;198674;148;86.6818181818;1.5;11.8181818182
mmultvector;07581aa60e5043a7fef266de6a212aa459810c0f;66;65;197;254;268;268;136;365;61;287;394;358;151;423;367;437;53;98;151;10216;2392;284;1025;2.0625;13.8125;145624;154;86.9090909091;1.6818181818200002;11.4090909091
mmultvector;07f5e86ba67320fc5856bc627382df1ce1189541;69;62;193;233;297;248;116;359;61;287;388;352;154;417;348;431;48;97;145;18044;2392;284;1025;1.875;14.75;210429;148;86.72727272729999;1.45454545455;11.8181818182
mmultvector;082fff626e8c4c3e161277619b9c2515f72ee077;70;62;199;246;268;262;130;359;61;287;388;352;154;417;361;431;49;96;145;10344;2392;284;1025;1.8125;14.625;145250;148;87.5;1.36363636364;11.1363636364
mmultvector;0831fa4caa21a0d7a6a70b09ef19c8ce06993f70;71;63;194;251;268;272;140;369;61;287;398;362;157;427;371;441;47;96;143;17852;2392;284;1025;1.75;15.5;198738;158;86.4090909091;1.3181818181799998;12.2727272727
mmultvector;088bbb0ea7ba57a9ed87705b687186d4f37040dd;78;66;209;234;268;266;134;363;61;287;392;356;162;421;365;435;49;96;145;10216;2392;284;1025;1.8125;14.375;145122;152;87.3181818182;1.36363636364;11.3181818182
mmultvector;09dd3f1489d8611158a4391036435256d715eb1e;117;90;310;280;383;350;207;455;61;277;484;448;173;513;388;527;74;112;186;12220;2392;288;1025;3.125;19.25;175523;198;82.9090909091;2.31818181818;14.7727272727
